amenity	airport	de	Flughafen
amenity	arts_centre	de	Kunstcenter
amenity	atm	de	Geldautomat
amenity	auditorium	de	Hörsaal
amenity	bank	de	Bank
amenity	bar	de	Bar
amenity	bench	de	Bank
amenity	bicycle_parking	de	Fahrrad-Stellplatz
amenity	bicycle_rental	de	Fahrradverleih
amenity	brothel	de	Bordell
amenity	bureau_de_change	de	Wechselstube
amenity	bus_station	de	Busbahnhof
amenity	cafe	de	Café
amenity	car_rental	de	Autovermietung
amenity	car_sharing	de	Carsharing
amenity	car_wash	de	Autowaschanlage
amenity	casino	de	Casino
amenity	cinema	de	Kino
amenity	clinic	de	Krankenhaus
amenity	club	de	Club
amenity	college	de	Hochschule
amenity	community_centre	de	Gemeindezentrum
amenity	courthouse	de	Gericht
amenity	crematorium	de	Krematorium
amenity	dentist	de	Zahnarzt
amenity	doctors	de	Arzt
amenity	dormitory	de	Studentenwohnheim
amenity	drinking_water	de	Trinkwasser
amenity	driving_school	de	Fahrschule
amenity	embassy	de	Botschaft
amenity	emergency_phone	de	Notrufsäule
amenity	fast_food	de	Schnellimbiss
amenity	ferry_terminal	de	Fähren-Anlaufstelle
amenity	fire_hydrant	de	Hydrant
amenity	fire_station	de	Feuerwehr
amenity	fountain	de	Springbrunnen
amenity	fuel	de	Tankstelle
amenity	grave_yard	de	Friedhof
amenity	gym	de	Fitness-Zentrum
amenity	hall	de	Halle
amenity	health_centre	de	Gesundheitszentrum
amenity	hospital	de	Krankenhaus
amenity	hotel	de	Hotel
amenity	hunting_stand	de	Hochstand
amenity	ice_cream	de	Eisdiele
amenity	kindergarten	de	Kindergarten
amenity	library	de	Bücherei
amenity	market	de	Markt
amenity	marketplace	de	Marktplatz
amenity	mountain_rescue	de	Bergrettung
amenity	nightclub	de	Nachtklub
amenity	nursery	de	Kindertagesstätte
amenity	nursing_home	de	Altersheim
amenity	office	de	Büro
amenity	park	de	Park
amenity	parking	de	Parkplatz
amenity	pharmacy	de	Apotheke
amenity	place_of_worship	de	Andachtsstätte
amenity	police	de	Polizei
amenity	post_box	de	Briefkasten
amenity	post_office	de	Postamt
amenity	preschool	de	Vorschule
