amenity	airport	eu	Aireportu
amenity	arts_centre	eu	Arte Zentroa
amenity	auditorium	eu	Entzunareto
amenity	bank	eu	Banku
amenity	bar	eu	Taberna
amenity	bench	eu	Eserleku
amenity	bicycle_rental	eu	Txirrindu Alokairua
amenity	brothel	eu	Putetxe
amenity	bureau_de_change	eu	Diru-truke Bulegoa
amenity	bus_station	eu	Autobus-geltoki
amenity	cafe	eu	Kafetegi
amenity	car_rental	eu	Ibilgailu-alokairu
amenity	car_wash	eu	Auto Garbiketa
amenity	casino	eu	Kasino
amenity	cinema	eu	Zinema
amenity	clinic	eu	Klinika
amenity	club	eu	Diskoteka
amenity	college	eu	Kolegioa
amenity	community_centre	eu	Komunitate Zentroa
amenity	courthouse	eu	Epaitegia
amenity	crematorium	eu	Errauste labe
amenity	dentist	eu	Dentista
amenity	doctors	eu	Medikuak
amenity	drinking_water	eu	Edateko ur
amenity	driving_school	eu	Autoeskola
amenity	embassy	eu	Enbaxada
amenity	emergency_phone	eu	Larrialdi Telefonoa
amenity	fast_food	eu	Janari Azkarra
amenity	ferry_terminal	eu	Ferry terminal
amenity	fire_station	eu	Suhiltzaileak
amenity	fountain	eu	Iturri
amenity	grave_yard	eu	Hilerri
amenity	gym	eu	Osasun Zentroa / Gimnasioa
amenity	hall	eu	Aretoa
amenity	health_centre	eu	Osasun Zentroa
amenity	hospital	eu	Ospitalea
amenity	hotel	eu	Hotel
amenity	ice_cream	eu	Izozkiak
amenity	kindergarten	eu	Haurtzaindegi
amenity	library	eu	Liburutegia
amenity	market	eu	Merkatu
amenity	marketplace	eu	Merkatua
amenity	mountain_rescue	eu	Mendiko Erreskatea
amenity	nightclub	eu	Gau-klub
amenity	nursery	eu	Haurtzaindegi
amenity	office	eu	Bulego
amenity	park	eu	Parke
amenity	parking	eu	Aparkaleku
amenity	pharmacy	eu	Farmazia
amenity	place_of_worship	eu	Otoitzerako Lekua
amenity	police	eu	Polizia
amenity	post_box	eu	Postontzia
amenity	post_office	eu	Postetxe
amenity	preschool	eu	Eskolaurre
amenity	prison	eu	Espetxe
amenity	public_building	eu	Eraikin publiko
amenity	public_market	eu	Herri Azoka
amenity	recycling	eu	Birziklatze gune
amenity	restaurant	eu	Jatetxe
amenity	retirement_home	eu	Nagusien etxea
amenity	sauna	eu	Sauna
amenity	school	eu	Ikastetxe
amenity	shop	eu	Denda
amenity	shopping	eu	Erosketak
amenity	studio	eu	Estudio
amenity	supermarket	eu	Supermerkatu
amenity	taxi	eu	Taxi
amenity	telephone	eu	Telefono publiko
amenity	theatre	eu	Antzokia
amenity	toilets	eu	Komunak
amenity	townhall	eu	Udaletxe
amenity	university	eu	Unibertsitate
amenity	vending_machine	eu	Salmenta automatiko
amenity	wifi	eu	WiFi Sarbidea
amenity	youth_centre	eu	Gaztelekua
boundary	administrative	eu	Muga Administratiboa
building	bunker	eu	Bunker
building	chapel	eu	Kapera
building	church	eu	Eliza
building	city_hall	eu	Udaletxea
building	garage	eu	Garajea
building	hospital	eu	Ospitale erakina
building	hotel	eu	Hotela
building	house	eu	Etxe
building	industrial	eu	Eraikin industriala
building	public	eu	Eraikin publiko
building	school	eu	Eskola eraikina
building	shop	eu	Denda
building	stadium	eu	Estadio
building	store	eu	Denda
building	tower	eu	Dorre
building	train_station	eu	Tren Geltokia
building	university	eu	Unibertsitate eraikina
highway	bus_stop	eu	Autobus-geraleku
highway	construction	eu	Eraikitze-lanetan dagoen Autopista
highway	emergency_access_point	eu	Larrialdi Sarbide Gunea
highway	footway	eu	Oinezkoen bide
highway	gate	eu	Ate
highway	motorway	eu	Autobide
highway	motorway_link	eu	Autobidea
highway	platform	eu	Nasa
highway	primary	eu	Lehen mailako errepide
highway	primary_link	eu	Errepide nagusi
highway	residential	eu	Bizileku
highway	road	eu	Errepide
highway	secondary	eu	Bigarren mailako errepide
highway	secondary_link	eu	Bigarren mailako errepide
highway	service	eu	Zerbitzu Errepidea
highway	services	eu	Autobide Zerbitzuak
highway	steps	eu	Eskailera-mailak
highway	tertiary	eu	Hirugarren mailako errepide
highway	track	eu	Pista
historic	archaeological_site	eu	Aztarnategi arkeologiko
historic	building	eu	Eraikina
historic	castle	eu	Gaztelu
historic	church	eu	Eliza
historic	house	eu	Etxea
historic	memorial	eu	Memoriala
historic	mine	eu	Meategi
historic	monument	eu	Monumentu
historic	museum	eu	Museo
historic	tower	eu	Dorre
