amenity	airport	gl	Aeroporto
amenity	arts_centre	gl	Centro artístico
amenity	atm	gl	Caixeiro automático
amenity	auditorium	gl	Auditorio
amenity	bank	gl	Banco
amenity	bar	gl	Bar
amenity	bench	gl	Banco
amenity	bicycle_parking	gl	Aparcadoiro de bicicletas
amenity	bicycle_rental	gl	Aluguer de bicicletas
amenity	brothel	gl	Prostíbulo
amenity	bureau_de_change	gl	Casa de cambio
amenity	bus_station	gl	Estación de autobuses
amenity	cafe	gl	Cafetaría
amenity	car_rental	gl	Aluguer de automóbiles
amenity	car_sharing	gl	Aluguer de automóbiles
amenity	car_wash	gl	Lavadoiro de coches
amenity	casino	gl	Casino
amenity	cinema	gl	Cine
amenity	clinic	gl	Clínica
amenity	club	gl	Club
amenity	college	gl	Instituto
amenity	community_centre	gl	Centro comunitario
amenity	courthouse	gl	Xulgado
amenity	crematorium	gl	Crematorio
amenity	dentist	gl	Dentista
amenity	doctors	gl	Médicos
amenity	dormitory	gl	Residencia universitaria
amenity	drinking_water	gl	Auga potable
amenity	driving_school	gl	Escola de condución
amenity	embassy	gl	Embaixada
amenity	emergency_phone	gl	Teléfono de emerxencia
amenity	fast_food	gl	Comida rápida
amenity	ferry_terminal	gl	Terminal de transbordadores
amenity	fire_hydrant	gl	Boca de incendios
amenity	fire_station	gl	Parque de bombeiros
amenity	fountain	gl	Fonte
amenity	fuel	gl	Combustible
amenity	grave_yard	gl	Cemiterio
amenity	gym	gl	Ximnasio
amenity	hall	gl	Sala de reunións
amenity	health_centre	gl	Centro de saúde
amenity	hospital	gl	Hospital
amenity	hotel	gl	Hotel
amenity	hunting_stand	gl	Lugar de caza
amenity	ice_cream	gl	Xeadaría
amenity	kindergarten	gl	Xardín de infancia
amenity	library	gl	Biblioteca
amenity	market	gl	Mercado
amenity	marketplace	gl	Praza de mercado
amenity	mountain_rescue	gl	Rescate de montaña
amenity	nightclub	gl	Club nocturno
amenity	nursery	gl	Parvulario
amenity	nursing_home	gl	Residencia para a terceira idade
amenity	office	gl	Oficina
amenity	park	gl	Parque
amenity	parking	gl	Aparcadoiro
amenity	pharmacy	gl	Farmacia
amenity	place_of_worship	gl	Lugar de culto
amenity	police	gl	Policía
amenity	post_box	gl	Caixa de correos
amenity	post_office	gl	Oficina de correos
amenity	preschool	gl	Preescolar
amenity	prison	gl	Prisión
amenity	pub	gl	Pub
amenity	public_building	gl	Edificio público
amenity	public_market	gl	Mercado público
amenity	reception_area	gl	Zona de recepción
amenity	recycling	gl	Punto de reciclaxe
amenity	restaurant	gl	Restaurante
amenity	retirement_home	gl	Residencia de xubilados
amenity	sauna	gl	Sauna
amenity	school	gl	Escola
amenity	shelter	gl	Abeiro
amenity	shop	gl	Tenda
amenity	shopping	gl	Comercio
amenity	social_club	gl	Club social
amenity	studio	gl	Estudio
amenity	supermarket	gl	Supermercado
amenity	taxi	gl	Taxi
amenity	telephone	gl	Teléfono público
amenity	theatre	gl	Teatro
amenity	toilets	gl	Aseos
amenity	townhall	gl	Concello
amenity	university	gl	Universidade
amenity	vending_machine	gl	Máquina expendedora
amenity	veterinary	gl	Clínica veterinaria
amenity	village_hall	gl	Concello
amenity	waste_basket	gl	Cesto do lixo
amenity	wifi	gl	Acceso WiFi
amenity	youth_centre	gl	Casa da xuventude
boundary	administrative	gl	Límite administrativo
building	apartments	gl	Bloque de apartamentos
building	block	gl	Bloque de edificios
building	bunker	gl	Búnker
building	chapel	gl	Capela
building	church	gl	Igrexa
building	city_hall	gl	Concello
building	commercial	gl	Edificio comercial
building	dormitory	gl	Residencia universitaria
building	entrance	gl	Entrada do edificio
building	faculty	gl	Edificio de facultade
building	farm	gl	Granxa
building	flats	gl	Apartamentos
building	garage	gl	Garaxe
building	hall	gl	Sala de reunións
building	hospital	gl	Edificio hospitalario
building	hotel	gl	Hotel
building	house	gl	Casa
building	industrial	gl	Edificio industrial
building	office	gl	Edificio de oficinas
building	public	gl	Edificio público
building	residential	gl	Edificio residencial
building	retail	gl	Edificio comercial
building	school	gl	Edificio escolar
building	shop	gl	Tenda
building	stadium	gl	Estadio
building	store	gl	Comercio
building	terrace	gl	Terraza
building	tower	gl	Torre
building	train_station	gl	Estación de ferrocarril
building	university	gl	Complexo universitario
highway	bridleway	gl	Pista de cabalos
highway	bus_guideway	gl	Liña de autobuses guiados
highway	bus_stop	gl	Parada de autobús
highway	byway	gl	Camiño secundario
highway	construction	gl	Autoestrada en construción
highway	cycleway	gl	Pista de bicicletas
highway	distance_marker	gl	Indicador quilométrico
highway	emergency_access_point	gl	Punto de acceso de emerxencia
highway	footway	gl	Carreiro
highway	ford	gl	Vao
highway	gate	gl	Porta
highway	living_street	gl	Rúa residencial
highway	minor	gl	Estrada lateral
highway	motorway	gl	Autoestrada
highway	motorway_junction	gl	Cruzamento de autovías
highway	motorway_link	gl	Enlace de autoestrada
highway	path	gl	Camiño
